y	y_type	x	degrees_freedom	deviance	residual_degrees_freedom	residual_deviance	F_statistic	p-value	coefficient	covariants	memo	FDR
birth_days_to	Q	Any.HPV.low	1	8950836.63043404	745	12798841925.6439	0.521013801749712	0.470636024116227	-368.498146573447	Disease	NA	0.883090117196735
birth_days_to	Q	Any.HHV.low	1	65162768.9237156	745	12742629993.3507	3.80975221547674	0.0513292965376323	-628.241904801112	Disease	NA	0.303087274793639
birth_days_to	Q	AnyVirus.low	1	123149421.485191	745	12684643340.7892	7.23286548479016	0.00731821773876272	-819.322430185237	Disease	NA	0.0874857529334393
lymph_nodes_examined	Q	BK	1	149.82055941844	608	212445.368227156	0.42877329304263	0.512839127465775	-12.2946428571428	Disease	NA	0.914221193771051
lymph_nodes_examined	Q	EBV	1	1053.7303614878	608	211541.458425086	3.0285697402028	0.0823160525220096	6.27643695408851	Disease	NA	0.42529960469705
lymph_nodes_examined	Q	HAC	0	0	609	212595.188786574	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined	Q	HBV	0	0	609	212595.188786574	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined	Q	HHV5	1	8.50799521646695	608	212586.680791358	0.0243329500811426	0.876092504155588	1.31720155201976	Disease	NA	0.980093968538557
lymph_nodes_examined	Q	HPV16	1	3084.31531426997	608	209510.873472304	8.95067487427587	0.00288606133432051	-13.5547979958837	Disease	NA	0.0561264139289184
lymph_nodes_examined	Q	HPV18	0	0	609	212595.188786574	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined	Q	HPV33	1	328.881638418068	608	212266.307148156	0.942024378926133	0.332143714812333	-9.1440677966101	Disease	NA	0.746319920297266
lymph_nodes_examined	Q	HPV45	1	264.320559418469	608	212330.868227156	0.75687016903497	0.384653105001175	-16.3303571428571	Disease	NA	0.781917787215503
lymph_nodes_examined	Q	Other.HPV	1	1433.16211132568	608	211162.026675248	4.12651165271352	0.0426507200642598	22.002391420778	Disease	NA	0.264434464398411
lymph_nodes_examined	Q	Any.HPV	1	1930.89956777426	608	210664.2892188	5.57278569405481	0.0185563959505073	-8.99934425012537	Disease	NA	0.191749424821909
lymph_nodes_examined	Q	Any.HHV	1	960.826844552095	608	211634.361942022	2.76033965433134	0.0971432199255548	5.51103917921428	Disease	NA	0.473233097476361
lymph_nodes_examined	Q	AnyVirus	1	55.6279289585364	608	212539.560857616	0.159131696096088	0.690097269569155	-0.986602102160429	Disease	NA	0.950188535726491
lymph_nodes_examined	Q	BK.low	1	6.80632658157265	608	212588.382459993	0.0194660052149132	0.889084960745166	-1.85079889398185	Disease	NA	0.980093968538557
lymph_nodes_examined	Q	EBV.low	1	4.14556659682421	608	212591.043219977	0.0118561179845241	0.913328993068496	0.176428023409772	Disease	NA	0.980093968538557
lymph_nodes_examined	Q	HAC.low	1	0.356904966320144	608	212594.831881608	0.00102071258083777	0.974523531760286	-0.114718547030755	Disease	NA	0.981211215143725
lymph_nodes_examined	Q	HBV.low	1	742.696552552545	608	211852.492234022	2.13148072600031	0.144817795026435	9.24622222222233	Disease	NA	0.561168955727436
lymph_nodes_examined	Q	HHV5.low	1	3506.35941032259	608	209088.829376252	10.1959847775506	0.00148017192854945	11.4593110729337	Disease	NA	0.0547262454899861
lymph_nodes_examined	Q	HPV16.low	1	637.67117341116	608	211957.517613163	1.829159341928	0.176729656319064	4.08268012222826	Disease	NA	0.629051162926895
lymph_nodes_examined	Q	HPV18.low	1	1546.83290134693	608	211048.355885227	4.45620341401942	0.0351823169792136	9.85573503260207	Disease	NA	0.245603654591149
lymph_nodes_examined	Q	HPV33.low	1	892.844933121174	608	211702.343853453	2.56421213604253	0.109826412761006	8.8143589686158	Disease	NA	0.473233097476361
lymph_nodes_examined	Q	HPV45.low	0	0	609	212595.188786574	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined	Q	Other.HPV.low	1	21.2676505832933	608	212573.921135991	0.060829341085401	0.805273150900618	1.06483667260411	Disease	NA	0.969455055453171
lymph_nodes_examined	Q	Any.HPV.low	1	2925.2269456826	608	209669.961840892	8.4825597685026	0.00371725551099721	7.34605289431811	Disease	NA	0.0576174604204567
lymph_nodes_examined	Q	Any.HHV.low	1	415.334451980132	608	212179.854334594	1.19013818534208	0.275733823734125	1.74371627237593	Disease	NA	0.642961214892387
lymph_nodes_examined	Q	AnyVirus.low	1	1284.4965254743	608	211310.6922611	3.69585598878919	0.0550146822574768	2.91618506330271	Disease	NA	0.310082754542142
lymph_nodes_examined_he_count	Q	BK	1	2.97923269390958	595	22720.9661058688	0.0780179612352983	0.780098657569431	-1.73394495412844	Disease	NA	0.969455055453171
lymph_nodes_examined_he_count	Q	EBV	1	21.6411462926662	595	22702.3041922701	0.567188331857554	0.45167624431869	0.912884118501491	Disease	NA	0.861659296854117
lymph_nodes_examined_he_count	Q	HAC	0	0	596	22723.9453385627	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined_he_count	Q	HBV	0	0	596	22723.9453385627	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined_he_count	Q	HHV5	1	8.34029471967369	595	22715.6050438431	0.218461068883168	0.640386141761445	1.30454068876522	Disease	NA	0.916668062132453
lymph_nodes_examined_he_count	Q	HPV16	1	31.1050978797321	595	22692.840240683	0.815567070589113	0.366844904664797	-1.43941867200253	Disease	NA	0.770996070820929
lymph_nodes_examined_he_count	Q	HPV18	0	0	596	22723.9453385627	NA	NA	NA	Disease	NA	NA
lymph_nodes_examined_he_count	Q	HPV33	1	12.1284340130806	595	22711.8169045496	0.317738482487384	0.573182293037183	-1.75663716814162	Disease	NA	0.916668062132453
